id;name;jhi_key;account_type;ordered_by;jhi_level;isleaf;balance_account_id;legal_entity_id;chart_of_accounts_id;upper_account_id
158837;Options and futures commissions;5.06.02.01.06;INCOME;454;8;true;158837;AAA;1;158161
158839;Commissions on services;5.06.02.01.07;INCOME;455;8;true;158839;AAA;1;158161
158845;Other commissions;5.06.02.01.08;INCOME;456;8;true;158845;AAA;1;158161
158162;Private customers;5.06.02.02;INCOME;457;4;false;158162;AAA;1;158134
158851;Management fees;5.06.02.02.01;INCOME;458;8;true;158851;AAA;1;158162
158853;Brokerage;5.06.02.02.02;INCOME;459;8;true;158853;AAA;1;158162
158865;Custody fees and custodian charges;5.06.02.02.03;INCOME;460;8;true;158865;AAA;1;158162
158863;securities transactions commissions;5.06.02.02.04;INCOME;461;8;true;158863;AAA;1;158162
158861;Coupons commissions;5.06.02.02.05;INCOME;462;8;true;158861;AAA;1;158162
158859;Options and futures commissions;5.06.02.02.06;INCOME;463;8;true;158859;AAA;1;158162
158857;Commissions on services;5.06.02.02.07;INCOME;464;8;true;158857;AAA;1;158162
158855;Other commissions;5.06.02.02.08;INCOME;465;8;true;158855;AAA;1;158162
158163;Other;5.06.02.03;INCOME;466;4;false;158163;AAA;1;158134
158867;Other management fees;5.06.02.03.01;INCOME;467;8;true;158867;AAA;1;158163
158135;Undertakings for collective investment (UCI) activities;5.06.03;INCOME;468;3;false;158135;AAA;1;157994
158873;Custodian bank;5.06.03.01;INCOME;469;8;true;158873;AAA;1;158135
158871;Central administration;5.06.03.02;INCOME;470;8;true;158871;AAA;1;158135
158869;Other;5.06.03.99;INCOME;471;8;true;158869;AAA;1;158135
158136;Corporate finance;5.06.04;INCOME;472;3;false;158136;AAA;1;157994
158875;Corporate finance;5.06.04.01;INCOME;473;8;true;158875;AAA;1;158136
158137;Other fee and commission income;5.06.99;INCOME;474;3;false;158137;AAA;1;157994
158877;Transfer commissions;5.06.99.01;INCOME;475;8;true;158877;AAA;1;158137
158879;miscellaneous services commissions;5.06.99.02;INCOME;476;8;true;158879;AAA;1;158137
157995;Fee and commission expenses (-);5.07;EXPENSE;477;2;false;157995;AAA;1;157941
158138;Credit activities;5.07.01;EXPENSE;478;3;false;158138;AAA;1;157995
158883;Credit activities - Receivable commissions on CDS;5.07.01.01;EXPENSE;479;8;true;158883;AAA;1;158138
158881;Credit activities - Receivable commissions on credit;5.07.01.02;EXPENSE;480;8;true;158881;AAA;1;158138
158887;Credit activities - Receivable commissions on commitment;5.07.01.03;EXPENSE;481;8;true;158887;AAA;1;158138
158885;Credit activities - Other;5.07.01.04;EXPENSE;482;8;true;158885;AAA;1;158138
158139;Management Function;5.07.02;EXPENSE;483;3;false;158139;AAA;1;157995
158164;Institutional customers;5.07.02.01;EXPENSE;484;4;false;158164;AAA;1;158139
158899;Management fees;5.07.02.01.01;EXPENSE;485;8;true;158899;AAA;1;158164
158897;Brokerage;5.07.02.01.02;EXPENSE;486;8;true;158897;AAA;1;158164
158895;Custody fees and custodian charges;5.07.02.01.03;EXPENSE;487;8;true;158895;AAA;1;158164
158893;securities transactions commissions;5.07.02.01.04;EXPENSE;488;8;true;158893;AAA;1;158164
158889;Coupons commissions;5.07.02.01.05;EXPENSE;489;8;true;158889;AAA;1;158164
158891;Options and futures commissions;5.07.02.01.06;EXPENSE;490;8;true;158891;AAA;1;158164
158901;Commissions on services;5.07.02.01.07;EXPENSE;491;8;true;158901;AAA;1;158164
158903;Other commissions;5.07.02.01.08;EXPENSE;492;8;true;158903;AAA;1;158164
158165;Private customers;5.07.02.02;EXPENSE;493;4;false;158165;AAA;1;158139
158905;Management fees;5.07.02.02.01;EXPENSE;494;8;true;158905;AAA;1;158165
158907;Brokerage;5.07.02.02.02;EXPENSE;495;8;true;158907;AAA;1;158165
158909;Custody fees and custodian charges;5.07.02.02.03;EXPENSE;496;8;true;158909;AAA;1;158165
158911;securities transactions commissions;5.07.02.02.04;EXPENSE;497;8;true;158911;AAA;1;158165
158913;Coupons commissions;5.07.02.02.05;EXPENSE;498;8;true;158913;AAA;1;158165
158915;Options and futures commissions;5.07.02.02.06;EXPENSE;499;8;true;158915;AAA;1;158165
158917;Commissions on services;5.07.02.02.07;EXPENSE;500;8;true;158917;AAA;1;158165
158919;Other commissions;5.07.02.02.08;EXPENSE;501;8;true;158919;AAA;1;158165
158166;Other;5.07.02.03;EXPENSE;502;4;false;158166;AAA;1;158139
